id,date,price,formated_price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price_per_livingarea,expensive,resultado_chatbot
666000143,20141229T000000,785000,785000,3,3,1950,1983,3,0,0,3,9,1610,340,2009,0,98004,476078,-122202,2040,2131,402.5641026,FALSE,Essa casa provavelmente é barata.
8725950170,20150123T000000,950000,950000,2,2.25,2200,2043,2,0,0,3,9,1760,440,2007,0,98004,476213,-122.2,2020,1957,431.8181818,FALSE,Essa casa provavelmente é barata.
9533100285,20140630T000000,2065000000,2065000,4,3.75,4350,7965,2,0,0,3,10,4350,0,2013,0,98004,476289,-122205,2190,8557,474.7126437,FALSE,Essa casa provavelmente é barata.
644000115,20140923T000000,1765000000,1765000,4,3.25,3980,10249,2,0,0,3,10,3980,0,2011,0,98004,475873,-122196,2450,10912,443.4673367,FALSE,Essa casa provavelmente é barata.
2311400056,20141201T000000,1.9875e+006,1987500,5,3.5,5230,8960,2,0,0,3,11,4450,780,2014,0,98004,475964,-122201,2310,9603,380.0191205,FALSE,Essa casa provavelmente é barata.
8085400586,20141101T000000,1.75e+006,1750000,4,2.75,3560,8975,2,0,0,3,10,3560,0,2014,0,98004,476322,-122209,3440,12825,491.5730337,TRUE,Essa casa provavelmente é barata.
8964800330,20150407T000000,3000000,3000000,4,3.75,5090,14823,1,0,0,3,11,4180,910,2013,0,98004,47.62,-122207,3030,12752,589.3909627,TRUE,Essa casa provavelmente é barata.
524059322,20150226T000000,999999,999999,3,2.5,2100,4097,2,0,0,3,9,2100,0,2008,0,98004,475983,-122.2,1780,4764,476.19,TRUE,Essa casa provavelmente é cara.
524059330,20150130T000000,1.7e+006,1700000,4,3.5,3830,8963,2,0,0,3,10,3120,710,2014,0,98004,47599,-122197,2190,10777,443.8642298,FALSE,Essa casa provavelmente é barata.
249000205,20141015T000000,1537000000,1537000,5,3.75,4470,8088,2,0,0,3,11,4470,0,2008,0,98004,476321,-122.2,2780,8964,343.8478747,FALSE,Essa casa provavelmente é barata.
